Food	Serving Size	Calories	Fat	Saturated Fat	Cholesterol	Sodium	Carbs	Dietery Fiber	Sugar	Protein	Labels	Ingredients
#11 Stickball Special Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
#12 Cancro Special Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
Chipotle Turkey Sub Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
Pepperoni & Cheese Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
Salami and Cheese Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
California Club Sub Honey Mustard (Mini)	Mini	7.02	0.37	0.02	0	111.56	0.49	0.19	0.11	0.32		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
Turkey Club Sub Honey Mustard (Mini)	Mini	4.25	0.22	0.01	0	67.61	0.3	0.12	0.07	0.19		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
#6 Halal Roast Beef and Provolone Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
#7 Halal Turkey Breast and Provolone Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
#9 Halal Club Supreme Honey Mustard (Mini)	Mini	4.25	0.22	0.01	0	67.61	0.3	0.12	0.07	0.19		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
Halal Sliced Buffalo Chicken Sub Honey Mustard (Mini)	Mini	21.05	1.1	0.06	0	334.67	1.49	0.58	0.33	0.95		Distilled vinegar, water, high fructose corn syrup, mustard seed, sugar, corn syrup, salt, carrot oleoresin (color), honey, spices and garlic powder
White Bread (Mini)	Mini	203.76	1.93	0.22	0	458.85	38.72	1.59	1.15	7.66	wheat	(Enriched flour (wheat flour, unbleached, unbromated, niacin, reduced iron, thiamin mononitrate, riboflavin, enzyme, folic acid), water, yeast, and 2% or less of salt, soybean/canola oil, cane sugar, ascorbic acid, enzymes) OR (Enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, yeast, salt, soybean oil, sugar, dough conditioner (ascorbic acid, enzymes)) OR (Wheat flour enriched (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, yeast, salt, soybean oil, sugar, vital wheat gluten, ascorbic acid, enzymes) OR (Flour (wheat flour, malted barley), water, yeast, contains less than 2% of each of the following: salt, sugar, soybean oil, wheat gluten, ascorbic acid, enzymes)
Wheat Bread (Mini)	Mini	202.92	2.01	0.28	0	446.86	38.92	3.13	1.9	7.83	wheat	(Enriched flour (wheat flour, unbleached, unbromated, niacin, reduced iron, thiamin mononitrate, riboflavin, enzyme, folic acid), water, whole wheat flour, yeast, cracked wheat, wheat bran, and 2% or less of salt, soybean/canola oil, cane sugar, honey, ascorbic acid, enzymes) OR (Enriched flour (niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, whole wheat flour, yeast, cracked wheat, wheat bran, salt, sugar, soybean oil, wheat gluten, honey, dough conditioner (ascorbic acid, enzymes)) OR (Wheat flour enriched (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, whole wheat flour, yeast, cracked wheat, wheat bran, salt, soybean oil, sugar, vital wheat gluten, honey, ascorbic acid, enzymes) OR (Flour (wheat flour, malted barley), water, whole wheat flour, yeast, cracked wheat, wheat bran, contains less than 2% of each of the following: salt, sugar, soybean oil, wheat gluten, honey, ascorbic acid, enzymes)
Lettuce (Mini)	Mini	7.94	0.08	0.02	0	5.68	1.68	0.64	1.06	0.52		
Tomatoes (Mini)	Mini	6.94	0.08	0.02	0	1.92	1.5	0.46	1.02	0.34		
Onions (Mini)	Mini	2.27	0.01	0	0	0.23	0.53	0.1	0.24	0.06		
Chicken Salad Sub Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#2 Jersey Shore's Favorite Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#3 Ham and Provolone Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#14 The Veggie Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#5 The Super Sub Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#7 Turkey and Provolone Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#10 Tuna Fish Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#6  Roast Beef and Provolone Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#13 The Original Italian Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#8 Club Sub Hot Chopped Pepper Relish (Mini)	Mini	1.23	0	0	0	106.18	0.26	0.09	0.16	0.04		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#9 Club Supreme Hot Chopped Pepper Relish (Mini)	Mini	1.23	0	0	0	106.18	0.26	0.09	0.16	0.04		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#1 BLT Hot Chopped Pepper Relish (Mini)	Mini	1.23	0	0	0	106.18	0.26	0.09	0.16	0.04		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#4 The Number Four Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#11 Stickball Special Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#12 Cancro Special Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Chipotle Turkey Sub Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Pepperoni & Cheese Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Salami and Cheese Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
California Club Sub Hot Chopped Pepper Relish (Mini)	Mini	1.36	0	0	0	116.8	0.28	0.1	0.17	0.05		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Turkey Club Sub Hot Chopped Pepper Relish (Mini)	Mini	1.23	0	0	0	106.18	0.26	0.09	0.16	0.04		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#6 Halal Roast Beef and Provolone Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#7 Halal Turkey Breast and Provolone Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#9 Halal Club Supreme Hot Chopped Pepper Relish (Mini)	Mini	1.23	0	0	0	106.18	0.26	0.09	0.16	0.04		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Halal Sliced Buffalo Chicken Sub Hot Chopped Pepper Relish (Mini)	Mini	4.07	0.01	0	0	350.39	0.84	0.3	0.52	0.14		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Rosemary Parmesan Bread (Mini)	Mini	191.74	2.83	0.93	3.72	438.11	33.69	1.69	0.99	7.8	milk, wheat	WHITE SUB (Enriched flour (wheat flour, unbleached, unbromated, niacin, reduced iron, thiamin mononitrate, riboflavin, enzyme, folic acid), water, yeast, and 2% or less of salt, soybean/canola oil, cane sugar, ascorbic acid, enzymes) OR (Enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, yeast, salt, soybean oil, sugar, dough conditioner (ascorbic acid, enzymes)) OR (Wheat flour enriched (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, yeast, salt, soybean oil, sugar, vital wheat gluten, ascorbic acid, enzymes) OR (Flour (wheat flour, malted barley), water, yeast, contains less than 2% of each of the following: salt, sugar, soybean oil, wheat gluten, ascorbic acid, enzymes), PARMESAN CHEESE (Parmesan cheese (cultured pasteurized part-skim milk, salt, enzymes), powdered cellulose (to prevent caking), natamycin (a natural mold inhibitor)), DRIED ROSEMARY.
Seeded Italian Bread (Mini)	Mini	177.6	2.03	0.18	0	389.22	32.85	1.35	0.97	6.66	wheat, sesame	WHITE SUB (Enriched flour (wheat flour, unbleached, unbromated, niacin, reduced iron, thiamin mononitrate, riboflavin, enzyme, folic acid), water, yeast, and 2% or less of salt, soybean/canola oil, cane sugar, ascorbic acid, enzymes) OR (Enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, yeast, salt, soybean oil, sugar, dough conditioner (ascorbic acid, enzymes)) OR (Wheat flour enriched (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, malted barley flour), water, yeast, salt, soybean oil, sugar, vital wheat gluten, ascorbic acid, enzymes) OR (Flour (wheat flour, malted barley), water, yeast, contains less than 2% of each of the following: salt, sugar, soybean oil, wheat gluten, ascorbic acid, enzymes), ROASTED WHITE SESAME SEEDS (sesame seeds).
Chicken Salad Sub Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	NULL
#2 Jersey Shore's Favorite Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#3 Ham and Provolone Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#14 The Veggie Cheese (Mini)	Mini	350.89	27.25	17.28	77.09	648.56	2.74	0	0.32	26.66	milk	PROVOLONE: Cultured pasteurized milk, salt and enzymes. SWISS: (Pasteurized part-skim milk, salt, cheese cultures, enzymes, natamycin (a natural mold inhibitor))
#5 The Super Sub Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#7 Turkey and Provolone Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#10 Tuna Fish Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	NULL
#6  Roast Beef and Provolone Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#13 The Original Italian Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#8 Club Sub Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#9 Club Supreme Cheese (Mini)	Mini	60.75	4.86	3.04	15.19	60.75	0.61	0	0	4.86	milk	SWISS:(Pasteurized part-skim milk, salt, cheese cultures, enzymes, natamycin (a natural mold inhibitor))
#1 BLT Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	NULL
#4 The Number Four Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#11 Stickball Special Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#12 Cancro Special Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
Chipotle Turkey Sub Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
Pepperoni & Cheese Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
Salami and Cheese Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
California Club Sub Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
Turkey Club Sub Cheese (Mini)	Mini	79.61	6.04	3.87	15.65	198.67	0.49	0	0.13	5.8	milk, halal, kosher	Cultured pasteurized milk, salt and enzymes.
#6 Halal Roast Beef and Provolone Cheese (Mini)	Mini	0	0	0	0	0	0	0	0	0		
#7 Halal Turkey Breast and Provolone Cheese (Mini)	Mini	0	0	0	0	0	0	0	0	0		
#9 Halal Club Supreme Cheese (Mini)	Mini	0	0	0	0	0	0	0	0	0		
Halal Sliced Buffalo Chicken Sub Cheese (Mini)	Mini	0	0	0	0	0	0	0	0	0		
Chicken Salad Sub Meat (Mini)	Mini	171.5	14.5	2.2	22.6	97.9	0.56	0.1	0.4	10.26	egg, kosher	WHITE CHICKEN MEAT, MAYONNAISE (Soybean oil, Water, Vinegar, Egg Yolks, Eggs, Euager, Salt, Spice, Citrici Acid, Lemon Juice Concentrate, Calcium Disodium EDTA added to protect flavor), CELERY, BLACK PEPPER.
#2 Jersey Shore's Favorite Meat (Mini)	Mini	27.14	0.94	0.34	9.34	227.28	0.69	0	0.64	4.08		Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate; Ham cured with water, dextrose, less than 2% of salt, flavorings, sugar, soybean oil, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite, paprika oleoresin, potassium lactate, sodium diacetate.
#3 Ham and Provolone Meat (Mini)	Mini	37.45	1.43	0.54	12.94	318.91	0.69	0	0.69	5.64		Cooked Ham: cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate.
#5 The Super Sub Meat (Mini)	Mini	39.57	1.24	0.39	13.01	331.66	1.21	0	1.08	6.05		Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate; Ham cured with water, dextrose, salt, contains 2% or less of: sodium phosphate, potassium lactate, smoke flavoring, sodium diacetate, sodium erythorbate, sodium nitrite. Coated in black pepper.; Ham cured with water, dextrose, less than 2% of salt, flavorings, sugar, soybean oil, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite, paprika oleoresin, potassium lactate, sodium diacetate.
#7 Turkey and Provolone Meat (Mini)	Mini	37.5	0.42	0.02	16.3	322.83	0.22	0	0.22	8.03		(Turkey Breast Meat, Turkey Broth, Water, Salt, Dextrose, Sodium Phosphate, Pepper)
#10 Tuna Fish Meat (Mini)	Mini	129.1	11.85	1.74	13.83	157.83	0.52	0.11	0.34	5.47	egg, fish, soy, kosher	MAYONNAISE (Soybean oil, Water, Vinegar, Egg Yolks, Eggs, Euager, Salt, Spice, Citric Acid, Lemon Juice Concentrate, Calcium Disodium EDTA added to protect flavor), ALBACORE TUNA (White tuna, water, vegetable broth, salt, pyrophosphate), LIGHT TUNA (Light tuna, water, vegetable broth, salt), CELERY, BLACK PEPPER. 
#6  Roast Beef and Provolone Meat (Mini)	Mini	62.38	1.83	0.7	29.09	26.41	0	0	0	11.51		100% Beef
#13 The Original Italian Meat (Mini)	Mini	74.52	4.3	1.54	20.66	447.34	1.46	0.03	1.29	7.62		Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate; Ham cured with water, dextrose, salt, contains 2% or less of: sodium phosphate, potassium lactate, smoke flavoring, sodium diacetate, sodium erythorbate, sodium nitrite. Coated in black pepper.; Ham cured with water, dextrose, less than 2% of salt, flavorings, sugar, soybean oil, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite, paprika oleoresin, potassium lactate, sodium diacetate.; Pork, beef, salt, less than 2% of: dextrose, lactic acid starter culture, spices, natural smoke flavoring, sodium ascorbate, sodium erythorbate, garlic powder, sodium nitrite, BHA, BHT, citric acid.; Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
#8 Club Sub Meat (Mini)	Mini	36.84	0.92	0.28	14.34	315.3	0.45	0	0.45	6.7		Cooked Ham: Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate.TURKEY: (Turkey Breast Meat, Turkey Broth, Water, Salt, Dextrose, Sodium Phosphate, Pepper).
#9 Club Supreme Meat (Mini)	Mini	50.46	1.15	0.37	22.95	169.54	0.11	0	0.11	9.85		TURKEY: (Turkey Breast Meat, Turkey Broth, Water, Salt, Dextrose, Sodium Phosphate, Pepper) ROAST BEEF: 100% Beef.
#4 The Number Four Meat (Mini)	Mini	20.84	0.53	0.12	6.54	172.2	0.87	0	0.74	3.23		Ham cured with water, dextrose, salt, contains 2% or less of: sodium phosphate, potassium lactate, smoke flavoring, sodium diacetate, sodium erythorbate, sodium nitrite. Coated in black pepper.; Ham cured with water, dextrose, less than 2% of salt, flavorings, sugar, soybean oil, sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite, paprika oleoresin, potassium lactate, sodium diacetate.
#11 Stickball Special Meat (Mini)	Mini	40.85	2.63	1.02	11.53	228.19	0.5	0.01	0.49	3.85		Cooked Ham: Ham cured with water dextrose, contains 2% or less of: salt, sugar, sodium phosphates, sodium ascorbate, sodium erythorbate. HARD SALAMI: Pork, beef, salt, less than 2% of: dextrose, lactic acid starter culture, spices, natural smoke flavoring, sodium ascorbate, sodium erythorbate, garlic powder, sodium nitrite, BHA, BHT, citric acid.
#12 Cancro Special Meat (Mini)	Mini	45.19	2.1	0.76	17.67	60.63	0.09	0.02	0.06	6.51		ROAST BEEF: 100% Beef. PEPPERONI: Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Chipotle Turkey Sub Meat (Mini)	Mini	37.5	0.42	0.02	16.3	322.83	0.22	0	0.22	8.03		(Turkey Breast Meat, Turkey Broth, Water, Salt, Dextrose, Sodium Phosphate, Pepper)
Pepperoni & Cheese Meat (Mini)	Mini	84.74	7.56	2.64	17.06	309.8	0.59	0.1	0.36	3.53		Pork, beef, salt contains 2% or less of spices, lactic acid starter culture, oleoresin of paprika, sodium erythorbate, sodium nitrite, dehydrated garlic, BHA, BHT, citric acid.
Salami and Cheese Meat (Mini)	Mini	102.93	8.88	3.48	23.54	319.95	0.74	0.03	0.69	4.79		Pork, beef, salt, less than 2% of: dextrose, lactic acid starter culture, spices, natural smoke flavoring, sodium ascorbate, sodium erythorbate, garlic powder, sodium nitrite, BHA, BHT, citric acid.
California Club Sub Meat (Mini)	Mini	37.5	0.42	0.02	16.3	322.83	0.22	0	0.22	8.03		(Turkey Breast Meat, Turkey Broth, Water, Salt, Dextrose, Sodium Phosphate, Pepper)
Turkey Club Sub Meat (Mini)	Mini	37.5	0.42	0.02	16.3	322.83	0.22	0	0.22	8.03		(Turkey Breast Meat, Turkey Broth, Water, Salt, Dextrose, Sodium Phosphate, Pepper)
#6 Halal Roast Beef and Provolone Meat (Mini)	Mini	0	0	0	0	0	0	0	0	0		
#7 Halal Turkey Breast and Provolone Meat (Mini)	Mini	0	0	0	0	0	0	0	0	0		
#9 Halal Club Supreme Meat (Mini)	Mini	0	0	0	0	0	0	0	0	0		
Halal Sliced Buffalo Chicken Sub Meat (Mini)	Mini	0	0	0	0	0	0	0	0	0		
Chicken Salad Sub Bacon (Mini)	Mini	33.56	2.68	0.93	7.41	122.95	0	0	0	2.48		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
