Food	Serving Size	Calories	Fat	Saturated Fat	Cholesterol	Sodium	Carbs	Dietery Fiber	Sugar	Protein	Labels	Ingredients
#56 Big Kahuna Cheese Steak Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
#20 Grilled Pastrami Reuben Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
Teriyaki Chicken Sub Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#19 BBQ Beef Bacon (Giant)	Giant	134.26	10.7	3.7	29.62	491.79	0	0	0	9.94		Pork cured with water, salt, sugar, less than 2% of sodium phosphate, smoke flavoring, sodium erythorbate, sodium nitrite.
ChixRoni LTO Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#17 Halal Steak Philly  Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#43 Halal Chipotle Cheese Steak Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#56 Halal Big Kahuna Cheese Steak Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#16 Halal Chicken Philly Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#42 Halal Chipotle Chicken Cheese Steak Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#55 Halal Big Kahuna Chicken Cheese Steak Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#44 Halal Buffalo Chicken Cheese Steak Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#31 Halal Chicken California Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#6 Halal Roast Beef and Provolone Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#7 Halal Turkey Breast and Provolone Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
#9 Halal Club Supreme Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
Halal Sliced Buffalo Chicken Sub Bacon (Giant)	Giant	0	0	0	0	0	0	0	0	0		
Mike's Hot Italian Avocado (Giant)	Giant	136.08	12.46	1.8	0	5.96	7.26	5.7	0.56	1.7		
Chicken Salad Sub Avocado (Giant)	Giant	136.08	12.46	1.8	0	5.96	7.26	5.7	0.56	1.7		NULL
#2 Jersey Shore's Favorite Avocado (Giant)	Giant	136.08	12.46	1.8	0	5.96	7.26	5.7	0.56	1.7		
